Order	priority	region	ID	population	family	individual	FlowAfterGermFlAG	FlAGVernTimeExcluded	FlAGVernTime14d	FloweringafterbackshiftinLD	Flowering_binominal	duration	still_flowering_at_end	use_for_duration
236	1	S	S2-4-1	S2	4	1	NA	NA	NA	NA	0	NA	NA	0
237	1	S	S2-45-1	S2	45	1	153	56	70	22	1	56	209	1
238	1	S	S2-5-1	S2	5	1	167	70	84	36	1	61	228	1
239	1	S	S2-5-2	S2	5	2	151	54	68	20	1	37	188	1
240	1	S	S2-6-1	S2	6	1	NA	NA	NA	NA	0	NA	NA	0
241	1	S	S2-6-2	S2	6	2	153	56	70	22	1	35	188	1
242	1	S	S2-7-1	S2	7	1	NA	NA	NA	NA	0	NA	NA	0
243	1	S	S2-7-2	S2	7	2	192	95	109	61	1	75	267	1
244	1	S	S2-8-1	S2	8	1	153	56	70	22	1	119	272	0
245	1	S	S2-8-2	S2	8	2	151	54	68	20	1	29	180	1
246	1	S	S2-9-1	S2	9	1	163	66	80	32	1	109	272	0
247	1	S	S2-9-2	S2	9	2	NA	NA	NA	NA	NA	NA	NA	0
248	1	S	S3-10-1	S3	10	1	153	56	70	22	1	35	188	1
249	1	S	S3-1-1	S3	1	1	167	70	84	36	1	34	201	1
250	1	S	S3-12-1	S3	12	1	177	80	94	46	1	51	228	1
251	1	S	S3-15-1	S3	15	1	NA	NA	NA	NA	0	NA	NA	0
252	1	S	S3-19-1	S3	19	1	184	87	101	53	1	18	202	1
253	1	S	S3-21-1	S3	21	1	NA	NA	NA	NA	0	NA	NA	0
254	1	S	S3-24-1	S3	24	1	171	74	88	40	1	66	237	1
255	1	S	S3-28-1	S3	28	1	153	56	70	22	1	119	272	0
256	1	S	S3-4-1	S3	4	1	167	70	84	36	1	105	272	0
257	1	S	S3-8-1	S3	8	1	NA	NA	NA	NA	0	NA	NA	0
258	1	S	S4-10-1	S4	10	1	167	70	84	36	1	51	218	1
259	1	S	S4-10-2	S4	10	2	153	56	70	22	1	119	272	0
260	1	S	S4-14-1	S4	14	1	163	66	80	32	1	109	272	0
261	1	S	S4-14-2	S4	14	2	151	54	68	20	1	121	272	0
262	1	S	S4-23-1	S4	23	1	153	56	70	22	1	119	272	0
263	1	S	S4-23-2	S4	23	2	167	70	84	36	1	101	268	1
264	1	S	S4-35-1	S4	35	1	151	54	68	20	1	121	272	0
265	1	S	S4-35-2	S4	35	2	146	49	63	15	1	126	272	0
266	1	S	S4-3-7-1selfed	S4	3-7s	1	171	74	88	40	1	101	272	0
267	1	S	S4-3-7-2selfed2012	S4	3-7s	2	153	56	70	22	1	35	188	1
268	1	S	S4-51-1	S4	51	1	163	66	80	32	1	109	272	0
269	1	S	S4-51-2	S4	51	2	171	74	88	40	1	101	272	0
270	1	S	S4-67-1	S4	67	1	149	52	66	18	1	123	272	0
271	1	S	S4-67-2	S4	67	2	146	49	63	15	1	126	272	0
272	1	S	S4-71-1	S4	71	1	167	70	84	36	1	79	246	1
273	1	S	S4-71-2	S4	71	2	153	56	70	22	1	35	188	1
274	1	S	S4-92-1	S4	92	1	156	59	73	25	1	101	257	1
275	1	S	S4-92-2	S4	92	2	163	66	80	32	1	74	237	1
276	1	S	S4-X1-1	S4	X1	1	153	56	70	22	1	119	272	0
277	1	S	S4-X11-1	S4	X11	1	151	54	68	20	1	123	274	1
278	1	S	S4-X11-2	S4	X11	2	146	49	63	15	1	121	267	1
279	1	S	S4-X1-2	S4	X1	2	149	52	66	18	1	126	275	1
280	1	S	S4-X12-1	S4	X12	1	149	52	66	18	1	123	272	0
281	1	S	S4-X12-1-1selfed	S4	X12-1s	1	151	54	68	20	1	119	270	1
282	1	S	S4-X12-1-1selfed	S4	X12-1s	2	149	52	66	18	1	121	270	1
283	1	S	S4-X12-2	S4	X12	2	153	56	70	22	1	123	276	1
284	1	S	S4-X2-1	S4	X2	1	156	59	73	25	1	116	272	0
285	1	S	S4-X2-2	S4	X2	2	151	54	68	20	1	121	272	0
286	1	S	S4-X3-1	S4	X3	1	158	61	75	27	1	114	272	0
287	1	S	S4-X3-2	S4	X3	2	149	52	66	18	1	123	272	0
288	1	S	S4-X4-1	S4	X4	1	163	66	80	32	1	109	272	0
289	1	S	S4-X4-2	S4	X4	2	156	59	73	25	1	116	272	0
290	1	S	S4-X5-1	S4	X5	1	156	59	73	25	1	116	272	0
291	1	S	S4-X5-2	S4	X5	2	151	54	68	20	1	121	272	0
292	1	S	S4-X6-1	S4	X6	1	153	56	70	22	1	119	272	0
293	1	S	S4-X6-2	S4	X6	2	156	59	73	25	1	116	272	0
294	1	S	S4-X7-1	S4	X7	1	171	74	88	40	1	30	201	1
295	1	S	S4-X7-2	S4	X7	2	153	56	70	22	1	27	180	1
296	1	S	S4-X8-1	S4	X8	1	151	54	68	20	1	121	272	0
297	1	S	S4-X8-2	S4	X8	2	146	49	63	15	1	126	272	0
298	1	S	S4-X9-1	S4	X9	1	156	59	73	25	1	116	272	0
299	1	S	S4-X9-2	S4	X9	2	149	52	66	18	1	123	272	0
300	1	S	S5-13-1	S5	13	1	184	87	101	53	1	88	272	0
301	1	S	S5-13-2	S5	13	2	149	52	66	18	1	123	272	0
302	1	S	S5-18-1	S5	18	1	151	54	68	20	1	121	272	0
303	1	S	S5-18-2	S5	18	2	156	59	73	25	1	116	272	0
304	1	S	S5-33-2	S5	33	2	158	61	75	27	1	37	195	1
305	1	S	S5-39-1	S5	39	1	177	80	94	46	1	95	272	0
306	1	S	S5-39-2	S5	39	2	167	70	84	36	1	100	267	1
307	1	S	S5-40-1	S5	40	1	167	70	84	36	1	105	272	0
308	1	S	S5-40-2	S5	40	2	156	59	73	25	1	111	267	1
309	1	S	S5-42-1	S5	42	1	171	74	88	40	1	101	272	0
310	1	S	S5-42-2	S5	42	2	163	66	80	32	1	109	272	0
311	1	S	S5-53-1	S5	53	1	167	70	84	36	1	105	272	0
312	1	S	S5-53-2	S5	53	2	156	59	73	25	1	116	272	0
313	1	S	S5-54-1	S5	54	1	156	59	73	25	1	116	272	0
314	1	S	S5-54-2	S5	54	2	184	87	101	53	1	88	272	0
315	1	S	S5-55-1	S5	55	1	167	70	84	36	1	105	272	0
316	1	S	S5-55-2	S5	55	2	153	56	70	22	1	119	272	0
317	1	S	S5-78-1	S5	78	1	NA	NA	NA	NA	0	NA	NA	0
318	1	S	S5-78-2	S5	78	2	NA	NA	NA	NA	0	NA	NA	0
319	1	S	S5-9-1	S5	9	1	NA	NA	NA	NA	0	NA	NA	0
320	1	S	S5-9-2	S5	9	2	NA	NA	NA	NA	0	NA	NA	0
321	1	S	S5-X1-1	S5	X1	1	167	70	84	36	1	105	272	0
322	1	S	S5-X11-1	S5	X11	1	160	63	77	29	1	88	248	1
323	1	S	S5-X1-2	S5	X1	2	192	95	109	61	1	112	304	1
324	1	S	S5-X15-2	S5	X15	2	177	80	94	46	1	95	272	0
325	1	S	S5-X22-1	S5	X22	1	160	63	77	29	1	112	272	0
326	1	S	S5-X22-2	S5	X22	2	149	52	66	18	1	123	272	0
327	1	S	S5-X23-1	S5	X23	1	149	52	66	18	1	39	188	1
328	1	S	S5-X23-2	S5	X23	2	149	52	66	18	1	25	174	1
329	1	S	S5-X25-1	S5	X25	1	151	54	68	20	1	121	272	0
330	1	S	S5-X25-2	S5	X25	2	149	52	66	18	1	123	272	0
331	1	nix	PEP1-1+14	PEP1	1	1	163	66	80	32	1	123	286	1
332	1	nix	PEP1-2+14	PEP1	1	2	144	47	61	13	1	128	272	0
333	1	nix	PEP1-3+14	PEP1	1	3	146	49	63	15	1	126	272	0
